index,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,is_zero_adr,is_group_block
26961,Resort Hotel,0,199,2016,August,33,9,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,0,0,Contract,142.76,0,0,Check-Out,2016-08-16,0,0
26962,Resort Hotel,0,122,2016,August,33,13,2,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,241,0,0,Transient,145.53,0,1,Check-Out,2016-08-16,0,0
26963,Resort Hotel,0,83,2016,August,33,10,2,4,2,1,0,BB,FRA,Direct,Direct,0,0,0,D,D,1,No Deposit,250,0,0,Transient-Party,204.1,0,2,Check-Out,2016-08-16,0,0
26964,Resort Hotel,0,83,2016,August,33,10,2,4,2,0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,0,Transient-Party,186.6,0,0,Check-Out,2016-08-16,0,0
26965,Resort Hotel,0,36,2016,August,33,11,2,3,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,0,0,Transient,253.16,1,0,Check-Out,2016-08-16,0,0
26966,Resort Hotel,0,56,2016,August,33,9,2,5,2,1,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250,0,0,Transient,225.0,0,0,Check-Out,2016-08-16,0,0
26967,Resort Hotel,0,203,2016,August,34,15,1,0,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,36,0,0,Transient,139.99,0,0,Check-Out,2016-08-16,0,0
26968,Resort Hotel,0,204,2016,August,34,16,1,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,36,0,0,Transient,139.99,0,0,Check-Out,2016-08-22,0,0
26969,Resort Hotel,0,24,2016,August,34,14,2,0,3,0,1,BB,CN,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,242,0,0,Transient,299.0,0,0,Check-Out,2016-08-16,0,0
26970,Resort Hotel,0,131,2016,August,33,8,3,5,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,I,1,No Deposit,240,0,0,Transient,10.5,0,2,Check-Out,2016-08-16,0,0
26971,Resort Hotel,0,69,2016,August,33,7,4,5,3,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,C,2,No Deposit,181,0,0,Transient,231.76,0,0,Check-Out,2016-08-16,0,0
26972,Resort Hotel,0,206,2016,August,33,8,3,5,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,H,H,1,No Deposit,240,0,0,Transient,250.0,0,0,Check-Out,2016-08-16,0,0
26973,Resort Hotel,0,83,2017,August,32,7,1,5,2,0,0,BB,ITA,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,240,0,0,Transient,230.0,0,2,Check-Out,2017-08-13,0,0
26974,Resort Hotel,0,3,2016,August,33,11,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,0,0,0,Transient,236.0,0,1,Check-Out,2016-08-16,0,0
26975,Resort Hotel,0,43,2016,August,33,12,2,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,0,0,Transient,153.23,0,1,Check-Out,2016-08-16,0,0
26976,Resort Hotel,0,63,2016,August,34,14,2,0,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,191.0,0,1,Check-Out,2016-08-16,0,0
26977,Resort Hotel,0,203,2016,August,32,5,4,7,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,172.0,0,1,Check-Out,2016-08-16,0,0
26978,Resort Hotel,0,75,2016,August,33,13,2,1,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,221.0,0,1,Check-Out,2016-08-16,0,0
26979,Resort Hotel,0,17,2016,August,33,12,2,2,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,240,0,0,Transient,270.5,0,1,Check-Out,2016-08-16,0,0
26980,Resort Hotel,0,24,2016,August,34,14,2,0,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,219.0,0,1,Check-Out,2016-08-16,0,0
26981,Resort Hotel,0,175,2016,August,33,8,3,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,0,0,Transient,153.39,0,2,Check-Out,2016-08-16,0,0
26982,Resort Hotel,0,218,2016,August,33,13,2,1,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,126.0,0,2,Check-Out,2016-08-16,0,0
26983,Resort Hotel,0,210,2016,August,33,9,2,5,2,0,1,SC,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,0,0,Transient,183.0,0,1,Check-Out,2016-08-16,0,0
26984,Resort Hotel,0,246,2016,August,32,2,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,0,0,Contract,134.55,0,0,Check-Out,2016-08-16,0,0
26985,Resort Hotel,0,161,2016,August,33,9,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,0,0,Transient,182.0,0,1,Check-Out,2016-08-16,0,0
26986,Resort Hotel,0,16,2016,August,33,13,2,1,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,293.0,0,1,Check-Out,2016-08-16,0,0
26987,Resort Hotel,0,165,2016,August,33,13,2,1,3,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,E,G,1,No Deposit,314,0,0,Transient,199.26,0,0,Check-Out,2016-08-16,0,0
26988,Resort Hotel,0,16,2016,August,33,13,2,1,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,261.0,0,1,Check-Out,2016-08-16,0,0
26989,Resort Hotel,0,45,2016,August,34,14,2,0,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,243.0,0,1,Check-Out,2016-08-16,0,0
26990,Resort Hotel,0,2,2016,August,34,14,2,0,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,0,0,Transient,253.0,0,1,Check-Out,2016-08-16,0,0
26991,Resort Hotel,0,1,2016,August,34,16,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,0,0,0,Transient,219.0,0,1,Check-Out,2016-08-17,0,0
26992,Resort Hotel,0,1,2016,August,34,15,1,0,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,253.0,1,1,Check-Out,2016-08-16,0,0
26993,Resort Hotel,0,11,2016,August,34,15,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,261.0,1,0,Check-Out,2016-08-16,0,0
26994,Resort Hotel,0,147,2016,August,33,8,3,5,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,201.0,0,0,Check-Out,2016-08-16,0,0
26995,Resort Hotel,0,20,2016,August,33,13,2,1,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,257.67,0,2,Check-Out,2016-08-16,0,0
26996,Resort Hotel,0,201,2016,August,33,13,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,430,0,0,Transient,123.0,0,0,Check-Out,2016-08-16,0,0
26997,Resort Hotel,0,175,2016,August,33,8,3,5,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,0,0,Transient,155.54,0,3,Check-Out,2016-08-16,0,0
26998,Resort Hotel,0,21,2016,August,33,10,2,5,2,0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,250,0,0,Transient,228.6,0,0,Check-Out,2016-08-17,0,0
26999,Resort Hotel,0,185,2016,August,33,13,2,2,3,0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175,0,0,Transient-Party,136.0,0,0,Check-Out,2016-08-17,0,0
27000,Resort Hotel,0,145,2016,August,33,13,2,2,2,0,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,0,0,0,Transient-Party,156.6,0,0,Check-Out,2016-08-17,0,0
27001,Resort Hotel,0,145,2016,August,33,13,2,2,2,1,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,0,0,0,Transient-Party,183.6,0,0,Check-Out,2016-08-17,0,0
27002,Resort Hotel,0,107,2016,August,33,13,2,2,3,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,1,No Deposit,250,0,0,Transient,271.0,1,0,Check-Out,2016-08-17,0,0
27003,Resort Hotel,0,145,2016,August,33,13,2,2,2,1,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,0,0,0,Transient-Party,171.6,0,0,Check-Out,2016-08-17,0,0
27004,Resort Hotel,0,145,2016,August,33,13,2,2,2,2,0,BB,ITA,Direct,Direct,0,0,0,C,C,0,No Deposit,0,0,0,Transient-Party,197.1,0,0,Check-Out,2016-08-17,0,0
27005,Resort Hotel,0,116,2016,August,33,11,2,4,2,0,0,HB,ITA,Direct,Direct,0,0,0,D,D,1,No Deposit,250,0,0,Transient,235.67,0,1,Check-Out,2016-08-17,0,0
27006,Resort Hotel,0,93,2016,August,34,14,2,1,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,0,0,Transient,216.33,0,1,Check-Out,2016-08-17,0,0
27007,Resort Hotel,0,57,2016,August,34,15,1,1,1,0,0,BB,CHE,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,0,0,Transient,224.0,0,1,Check-Out,2016-08-17,0,0
27008,Resort Hotel,0,24,2016,August,33,12,2,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,219.0,0,1,Check-Out,2016-08-17,0,0
27009,Resort Hotel,0,197,2016,August,33,10,2,5,2,0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,182.0,0,1,Check-Out,2016-08-17,0,0
27010,Resort Hotel,0,4,2016,August,34,14,2,1,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,15,0,0,Transient,208.8,0,0,Check-Out,2016-08-17,0,0
27011,Resort Hotel,0,207,2016,August,33,10,2,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,0,0,Transient,105.34,0,1,Check-Out,2016-08-17,0,0
27012,Resort Hotel,0,6,2016,August,34,16,0,1,2,0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,0,Transient,251.0,1,1,Check-Out,2016-08-17,0,0
27013,Resort Hotel,0,145,2016,August,33,13,2,2,2,2,0,BB,ITA,Direct,Direct,0,0,0,C,C,0,No Deposit,0,0,0,Transient-Party,209.1,0,0,Check-Out,2016-08-17,0,0
27014,Resort Hotel,0,214,2016,August,33,10,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,126.0,0,1,Check-Out,2016-08-17,0,0
27015,Resort Hotel,0,108,2016,August,33,12,2,3,2,0,1,FB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,5,0,0,Transient,222.0,0,1,Check-Out,2016-08-17,0,0
27016,Resort Hotel,0,185,2016,August,33,13,2,2,2,0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175,0,0,Transient-Party,114.0,0,0,Check-Out,2016-08-17,0,0
27017,Resort Hotel,0,1,2016,August,34,16,0,1,2,0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,0,0,Transient,209.0,0,1,Check-Out,2016-08-17,0,0
27018,Resort Hotel,0,189,2016,August,33,10,2,5,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,0,0,Transient,140.0,1,0,Check-Out,2016-08-17,0,0
27019,Resort Hotel,0,211,2016,August,32,4,4,10,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,172.0,0,1,Check-Out,2016-08-18,0,0
27020,Resort Hotel,0,199,2016,August,32,2,4,12,2,1,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196,0,0,Transient,103.5,0,1,Check-Out,2016-08-18,0,0
27021,Resort Hotel,0,190,2016,August,33,11,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,143,0,0,Contract,110.7,0,1,Check-Out,2016-08-18,0,0
27022,Resort Hotel,0,204,2016,August,32,2,4,12,2,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,196,0,0,Transient,151.3,0,0,Check-Out,2016-08-18,0,0
27023,Resort Hotel,0,259,2016,August,33,11,2,5,2,1,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,4,No Deposit,143,0,0,Transient,142.68,0,2,Check-Out,2016-08-18,0,0
27024,Resort Hotel,0,259,2016,August,33,11,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,143,0,0,Transient,112.2,0,1,Check-Out,2016-08-18,0,0
27025,Resort Hotel,0,190,2016,August,33,11,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,0,0,Contract,115.05,0,0,Check-Out,2016-08-18,0,0
27026,Resort Hotel,0,12,2016,August,34,16,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,221.0,0,0,Check-Out,2016-08-18,0,0
27027,Resort Hotel,0,178,2016,August,33,8,3,7,2,1,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,0,0,Transient,190.1,1,2,Check-Out,2016-08-18,0,0
27028,Resort Hotel,0,4,2016,August,34,16,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,36,0,0,Transient,145.2,0,1,Check-Out,2016-08-18,0,0
27029,Resort Hotel,0,118,2016,August,34,15,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,0,0,Transient,151.83,0,1,Check-Out,2016-08-18,0,0
27030,Resort Hotel,0,15,2016,August,34,17,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,0,Transient,219.0,0,0,Check-Out,2016-08-18,0,0
27031,Resort Hotel,0,49,2016,August,34,14,2,2,2,1,0,HB,FRA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242,0,0,Transient,301.2,0,1,Check-Out,2016-08-18,0,0
27032,Resort Hotel,0,1,2016,August,34,18,0,1,2,1,0,HB,FRA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,0,0,0,Group,242.0,0,1,Check-Out,2016-08-19,0,0
27033,Resort Hotel,0,251,2016,August,33,9,2,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,0,0,Transient-Party,195.98,0,1,Check-Out,2016-08-18,0,0
27034,Resort Hotel,0,251,2016,August,33,9,2,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,0,0,Transient-Party,197.97,0,1,Check-Out,2016-08-18,0,0
27035,Resort Hotel,0,59,2016,August,33,12,2,4,2,1,1,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240,0,0,Transient,329.0,0,1,Check-Out,2016-08-18,0,0
27036,Resort Hotel,0,205,2016,August,33,13,2,3,2,0,0,HB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,250,0,0,Transient,190.75,1,0,Check-Out,2016-08-18,0,0
27037,Resort Hotel,0,136,2016,August,33,11,2,5,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,0,0,Transient,191.0,1,0,Check-Out,2016-08-18,0,0
27038,Resort Hotel,0,175,2017,August,32,10,2,6,2,0,0,BB,PRT,Direct,Direct,1,0,1,D,D,0,No Deposit,250,0,0,Transient,189.5,1,3,Check-Out,2017-08-18,0,0
27039,Resort Hotel,0,5,2016,August,33,13,2,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,230.6,0,3,Check-Out,2016-08-18,0,0
27040,Resort Hotel,0,1,2016,August,34,17,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,0,0,Transient,221.0,0,1,Check-Out,2016-08-18,0,0
27041,Resort Hotel,0,115,2016,August,33,11,2,5,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,0,0,Transient,196.71,1,1,Check-Out,2016-08-18,0,0
27042,Resort Hotel,0,154,2016,August,34,16,0,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240,0,0,Transient,197.8,0,1,Check-Out,2016-08-18,0,0
27043,Resort Hotel,0,16,2016,August,33,12,2,4,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,0,0,Transient,231.0,0,1,Check-Out,2016-08-18,0,0
27044,Resort Hotel,0,49,2016,August,33,11,2,5,2,2,0,HB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,250,0,0,Transient,286.0,1,2,Check-Out,2016-08-18,0,0
27045,Resort Hotel,0,154,2016,August,34,16,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240,0,0,Transient,209.8,1,1,Check-Out,2016-08-18,0,0
27047,Resort Hotel,0,17,2016,August,34,15,1,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,242.33,0,1,Check-Out,2016-08-18,0,0
27048,Resort Hotel,0,154,2016,August,34,16,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,240,0,0,Transient-Party,232.8,0,1,Check-Out,2016-08-18,0,0
27049,Resort Hotel,0,18,2016,August,33,13,2,3,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,G,I,0,No Deposit,240,0,0,Transient,310.2,0,0,Check-Out,2016-08-18,0,0
27051,Resort Hotel,0,211,2016,August,34,14,2,2,1,1,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,95,0,0,Transient,144.0,0,0,Check-Out,2016-08-18,0,0
27052,Resort Hotel,0,174,2016,August,33,8,3,7,2,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,250,0,0,Transient,153.5,1,0,Check-Out,2016-08-18,0,0
27053,Resort Hotel,0,115,2016,August,34,15,1,2,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,0,Transient,271.0,0,0,Check-Out,2016-08-18,0,0
27054,Resort Hotel,0,4,2016,August,34,18,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,0,0,Transient,20.0,1,1,Check-Out,2016-08-19,0,0
27055,Resort Hotel,0,169,2016,August,32,5,4,10,2,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,71,0,0,Transient,142.0,0,0,Check-Out,2016-08-19,0,0
27056,Resort Hotel,0,251,2016,August,33,9,2,8,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,1,No Deposit,40,0,0,Contract,141.05,0,0,Check-Out,2016-08-19,0,0
27057,Resort Hotel,0,1,2016,August,34,18,0,1,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient-Party,179.0,0,2,Check-Out,2016-08-19,0,0
27059,Resort Hotel,0,89,2016,August,34,14,2,3,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,233.0,0,0,Check-Out,2016-08-19,0,0
27060,Resort Hotel,0,89,2016,August,34,14,2,3,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,0,0,Transient,245.0,0,0,Check-Out,2016-08-19,0,0
27061,Resort Hotel,0,1,2016,August,34,18,0,1,2,0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,179.0,0,0,Check-Out,2016-08-19,0,0
27062,Resort Hotel,0,2,2016,August,34,17,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,206.0,0,1,Check-Out,2016-08-19,0,0
27063,Resort Hotel,0,140,2016,August,34,16,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,240,0,0,Transient,179.0,0,2,Check-Out,2016-08-19,0,0
27064,Resort Hotel,0,1,2016,August,34,18,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient-Party,191.0,1,3,Check-Out,2016-08-19,0,0
27065,Resort Hotel,0,181,2016,August,33,7,4,8,3,0,0,HB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,0,0,0,Transient-Party,265.0,0,2,Check-Out,2016-08-19,0,0
27066,Resort Hotel,0,250,2017,August,32,6,4,10,3,0,0,HB,PRT,Direct,Direct,1,0,1,E,E,0,No Deposit,0,0,0,Transient,251.43,1,3,Check-Out,2017-08-20,0,0
27067,Resort Hotel,0,20,2016,August,34,16,0,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,0,0,Transient,254.0,0,2,Check-Out,2016-08-19,0,0
27068,Resort Hotel,0,1,2016,August,34,18,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient-Party,179.0,0,3,Check-Out,2016-08-19,0,0
27069,Resort Hotel,0,1,2016,August,34,18,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,179.0,0,0,Check-Out,2016-08-19,0,0
27070,Resort Hotel,0,187,2016,August,34,15,1,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,0,0,Transient,224.0,1,2,Check-Out,2016-08-19,0,0
27071,Resort Hotel,0,0,2016,August,34,18,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,0,0,Transient,209.0,0,1,Check-Out,2016-08-19,0,0
27072,Resort Hotel,0,173,2016,August,34,15,1,3,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,196,0,0,Transient,143.0,0,0,Check-Out,2016-08-19,0,0
27073,Resort Hotel,0,1,2016,August,34,18,0,1,2,2,0,BB,RUS,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,0,0,Transient,259.0,0,0,Check-Out,2016-08-19,0,0
27074,Resort Hotel,0,0,2016,August,34,18,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,179.0,0,1,Check-Out,2016-08-19,0,0
27075,Resort Hotel,0,11,2016,August,34,14,2,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,0,0,Transient,158.73,0,1,Check-Out,2016-08-19,0,0
27076,Resort Hotel,0,124,2016,August,33,12,2,5,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,0,0,Transient,172.8,0,0,Check-Out,2016-08-19,0,0
27077,Resort Hotel,0,13,2016,August,34,15,1,3,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242,0,0,Transient,264.16,0,1,Check-Out,2016-08-19,0,0
27078,Resort Hotel,0,1,2016,August,34,18,0,1,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,0,0,Transient,199.43,0,1,Check-Out,2016-08-19,0,0
27079,Resort Hotel,0,4,2016,August,34,18,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,175.0,0,1,Check-Out,2016-08-19,0,0
27080,Resort Hotel,0,27,2016,August,34,15,1,3,3,0,0,FB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,0,0,Transient,288.0,0,0,Check-Out,2016-08-19,0,0
27081,Resort Hotel,0,187,2016,August,34,15,1,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,0,0,Transient,212.0,0,2,Check-Out,2016-08-19,0,0
27082,Resort Hotel,0,205,2016,August,32,6,4,10,2,0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,E,E,1,No Deposit,314,0,0,Transient,126.0,0,0,Check-Out,2016-08-20,0,0
27083,Resort Hotel,0,212,2016,August,33,13,2,5,2,0,0,BB,DNK,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,253,0,0,Transient,112.7,0,1,Check-Out,2016-08-20,0,0
27084,Resort Hotel,0,201,2016,August,34,15,1,4,2,0,0,HB,AUT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,171,0,0,Transient,149.4,0,0,Check-Out,2016-08-20,0,0
27085,Resort Hotel,0,212,2016,August,33,13,2,5,2,0,0,BB,DNK,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,253,0,0,Transient,97.4,0,1,Check-Out,2016-08-20,0,0
27086,Resort Hotel,0,154,2016,August,34,16,0,4,2,0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314,0,0,Transient,116.7,0,0,Check-Out,2016-08-20,0,0
27087,Resort Hotel,0,25,2016,August,34,16,0,4,3,1,0,HB,BEL,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,0,0,Transient,352.0,0,1,Check-Out,2016-08-20,0,0
27088,Resort Hotel,0,164,2016,August,33,12,2,6,2,0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,3,No Deposit,314,0,0,Transient-Party,197.9,0,1,Check-Out,2016-08-20,0,0
27089,Resort Hotel,0,164,2016,August,33,12,2,6,2,0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,2,No Deposit,314,0,0,Transient-Party,185.9,0,1,Check-Out,2016-08-20,0,0
27090,Resort Hotel,0,111,2016,August,34,15,1,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,0,0,Transient,214.0,0,1,Check-Out,2016-08-20,0,0
27091,Resort Hotel,0,14,2016,August,34,15,1,4,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,0,0,Transient,265.0,0,2,Check-Out,2016-08-20,0,0
27092,Resort Hotel,0,7,2016,August,34,19,0,1,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,339,0,0,Transient-Party,140.0,0,0,Check-Out,2016-08-20,0,0
27093,Resort Hotel,0,7,2016,August,34,19,0,1,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,339,0,0,Transient-Party,140.0,0,0,Check-Out,2016-08-20,0,0
